region,state,lga,Tier_avail_cap,Tier_all_metrics,Percentage_income_spend_on_energy,Household_income_dist,Household_income_value
South South,Cross-River,Calabar Municipal,Tier 3,Tier 3,10,"N50,001 - N100,000",85000
South South,Cross-River,Calabar Municipal,Tier 0,Tier 0,0,"N0 -  N50,000",50000
South South,Delta,Ughelli North,Tier 1,Tier 1,9,"N100,001 - N250,000",200000
South South,Bayelsa,Nembe,Tier 1,Tier 1,2,"N250,001 - N500,000",300000
South South,Cross-River,Calabar Municipal,Tier 1,Tier 1,3,"N50,001 - N100,000",70000
South South,Cross-River,Calabar Municipal,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South South,Cross-River,Calabar South,Tier 0,Tier 0,0,"N0 -  N50,000",30000
South South,Bayelsa,Yenagoa,Tier 1,Tier 4,119,"N50,001 - N100,000",80000
South South,Bayelsa,Yenagoa,Tier 1,Tier 3,14,"N250,001 - N500,000",300000
South South,Bayelsa,Yenagoa,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,11,"N250,001 - N500,000",300000
South South,Bayelsa,Yenagoa,Tier 0,Tier 0,65,"N50,001 - N100,000",60000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,0,"N250,001 - N500,000",400000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 1,12,"N250,001 - N500,000",300000
South West,Ondo,Akure South,Tier 1,Tier 3,25,"N100,001 - N250,000",120000
South West,Ekiti,Ikere,Tier 0,Tier 0,3,"N100,001 - N250,000",150000
South West,Ekiti,Ikere,Tier 0,Tier 0,0,"N100,001 - N250,000",250000
South West,Ekiti,Ikere,Tier 1,Tier 4,16,"N100,001 - N250,000",250000
South West,Ekiti,Ikere,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South West,Ekiti,Ikere,Tier 3,Tier 4,10,"N100,001 - N250,000",120000
South West,Ekiti,Ikere,Tier 3,Tier 3,33,"N100,001 - N250,000",120000
South West,Ekiti,Ikere,Tier 3,Tier 3,10,"N50,001 - N100,000",60000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,14,"N50,001 - N100,000",70000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,4,"N50,001 - N100,000",80000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,4,"N50,001 - N100,000",70000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,0,"N50,001 - N100,000",70000
South West,Oyo,Lagelu,Tier 0,Tier 0,2,"N250,001 - N500,000",350000
South West,Ekiti,Ikere,Tier 1,Tier 1,2,"N100,001 - N250,000",200000
South West,Ekiti,Ikere,Tier 0,Tier 0,3,"N50,001 - N100,000",100000
South West,Ekiti,Ikere,Tier 0,Tier 0,6,"N250,001 - N500,000",300000
South West,Ekiti,Ikere,Tier 1,Tier 1,1,"N250,001 - N500,000",500000
South West,Ogun,Abeokuta North,Tier 2,Tier 2,14,"N250,001 - N500,000",300000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,10,"N100,001 - N250,000",150000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,5,"N50,001 - N100,000",55000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,1,"N500,001 - N1,000,000",600000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,3,"N50,001 - N100,000",60000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,204,"N50,001 - N100,000",80000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,0,"N100,001 - N250,000",250000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,26,"N250,001 - N500,000",260000
South South,Rivers,Emohua,Tier 3,Tier 3,2,"N100,001 - N250,000",200000
South South,Rivers,Obio-Akpor,Tier 1,Tier 3,4,"N100,001 - N250,000",150000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N0 -  N50,000",30000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N0 -  N50,000",30000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Bayelsa,Ogbia,Tier 2,Tier 2,12,"N1,000,001 - N5,000,000",4000000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,256,"N50,001 - N100,000",60000
South South,Rivers,Obio-Akpor,Tier 1,Tier 3,5,"N100,001 - N250,000",130000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,162,"N50,001 - N100,000",70000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N100,001 - N250,000",200000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,1,"N50,001 - N100,000",70000
South South,Cross-River,Calabar South,Tier 2,Tier 2,6,"N0 -  N50,000",36000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,42,"N0 -  N50,000",50000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,150,"N0 -  N50,000",45000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,3,"N100,001 - N250,000",120000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,6,"N50,001 - N100,000",80000
South South,Rivers,Emohua,Tier 3,Tier 3,2,"N100,001 - N250,000",150000
South South,Bayelsa,Kolokuma/Opokuma,Tier 0,Tier 0,0,"N100,001 - N250,000",200000
South South,Cross-River,Akpabuyo,Tier 1,Tier 3,32,"N50,001 - N100,000",100000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N0 -  N50,000",50000
South South,Rivers,Emohua,Tier 2,Tier 2,3,"N50,001 - N100,000",100000
South South,Rivers,Emohua,Tier 3,Tier 3,1,"N250,001 - N500,000",300000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N0 -  N50,000",40000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,0,"N0 -  N50,000",28000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,12,"N50,001 - N100,000",60000
