state,region,ps,fs,ins,cs,ds,ps_els,ps_els_code,ps_efs,ps_efs_code,ps_css,ps_css_code,fs_bal,fs_bal_code,fs_pof_code,fs_efg_code,fs_efg_pe,fs_efg_dg,fs_efg_bd,ins_gc,ins_mg,ins_ipp,ins_dsc,ins_cmc,cs_tec,cs_fin,cs_prc,ds_som,ds_mrd,ds_oth,ps_comms,fs_comms,ins_comms,cs_comms,ds_comms,state_comms,demand
Abia,South East,1,3,3,2,0,Submitted,2,-,0,Early stage,1,15,3,2,5,1,1,1,197.53,NA,118,PHEDC,43.46,1.167497312,1.848832304,1.131669688,0,0,0,"Based on Desktop research, Abia State lacks an official electrification plan, and regulatory oversight has not been transferred. The state electricity bill was submitted to","Abia State has shown moderate progress with a score of 3. The state has allocated a reasonable budget towards capital energy projects, scoring 3 in",Operational Substations (Qty): Abia state has 3 substation under PHEDC with a capacity of 1127.1MW with received energy of 77.39% Adequacy of Substations to meet,"Abia State has limited capacity readiness for managing its electricity sector, with significant gaps in regulation, financing, legal framework, and project management. The absence of",There was no evidence of a dedicated data collection agency or any mechanisms towards data collection management. A repository dedicated to energy data was also,"Abia State has made moderate progress in its electrification efforts but faces significant regulatory, institutional, and data-related challenges. The state lacks an official electrification plan, dedicated regulatory body, or structured rural electrification strategy, limiting policy enforcement and investment attraction. While there is some capital allocation for energy projects, the PPP framework remains weak, though FDI interest is strong. The state has three substations (1127.1MW capacity, 77.39% energy received), and the 141MW Geometric Power Plant (expandable to 188MW) is expected to improve supply for 9 out of 17 LGAs. Customer metering is at 43.46%, and ongoing infrastructure upgrades aim to modernize the distribution network. However, the absence of an independent power procurement system, structured capacity-building initiatives, and a dedicated energy data repository hampers effective planning and execution, making Abia highly reliant on federal intervention",868.7749282
Adamawa,North East,1,3,1,1,0,Submitted,2,Existing,3,-,0,32,5,1,4,1,1,1,252.49,NA,NA,YEDC,55.84,0.533051068,0.818004648,0.730772233,0,0,0,"Adamawa State's electrification plan is under development, the electricity laws has not been passed but the bill is in its second hearing. The legal framework","Adamawa scores 3 on average, reflecting strong commitment to energy projects with a high budget allocation score of 5. However, its PPP framework is weak,",Operational Substations (Qty): Adamawa is one (1) substaion with a state capcity of 36.55MW under YEDC which has a capcity of 252.49MW. YEDC only receives,"Adamawa State has taken initial steps toward developing its electricity sector but faces critical gaps in manpower, regulation, and financing. The Ministry of Works and",The state's energy department is newly established and still in the process of organizing its structure therefore energy data collection and management in Adamawa State,"Adamawa State is making progress in its electricity sector but faces significant regulatory, infrastructure, funding, and capacity challenges. The electrification plan is under development, and while an electricity bill is in its second hearing, regulatory transfer remains preliminary. There is no sub-disco, renewable energy policy, or structured policy review. Infrastructure remains inadequate, with only one substation with a state demand of Approx 200MW, but only receive 140-150MW from YEDC leading to persistent supply issues. Customer metering is low at 14.43%, and there is no clear asset replacement plan. The state has demonstrated a strong commitment to energy projects with a high budget allocation but lacks a structured PPP framework, limiting private sector participation. However, foreign investor confidence is growing, with moderate FDI inflows supporting sector development. While some electrification projects, including solar-powered initiatives, are ongoing, the state lacks structured capacity-building programs and relies heavily on federal agencies for policy enforcement and financial support. Additionally, there is no dedicated energy data collection system, restricting effective planning and implementation.",555.7203974
Akwa-Ibom,South South,1,2,3,1,0,Submitted,2,-,0,-,0,2,1,1,4,1,1,1,360.21,0.1,685,PHEDC,43.46,0.50950153,0.116975824,0.783237461,0,0,0,"Based on desktop research, Akwa Ibom does not have a documented electrification plan, though reports suggest a roadmap exists to ensure statewide electricity access. The","Akwa Ibom scores 2, showing limited progress in energy investments. The state has allocated only 1% or less of its budget to energy (score: 1),","Operational Substations Akwa Ibom has 5 substation being served by PHEDC. Infrastructure Capacity Between July 2022–June 2023, PHEDC capacity is 1,127.1 MW, and was only","Akwa Ibom State has made progress in electricity generation and distribution through Ibom Power Company and Ibom Utility Company, but significant gaps remain in regulation,",There is no evidence of a dedicated data collection agency or any mechanisms towards data collection management. A repository dedicated to energy data was also,"Akwa Ibom State has made progress in electricity generation and distribution through Ibom Power Company, but significant regulatory, investment, and planning gaps remain. The state lacks a documented electrification plan, a dedicated regulatory agency, or a sub-distribution company, and while its electricity bill is at the second hearing, regulatory oversight has not been transferred. Infrastructure challenges persist, with PHEDC receiving only 77.39% of its allocated energy and metering just 43.46% of customers. Though urban areas have reliable electricity, rural access remains weak, with solar mini-grids providing limited improvements. Despite some foreign investor interest, energy investments remain low, with only 1% or less of the state budget allocated to the sector, and the PPP framework is weak. Ongoing projects include the 572/685MW Ibom Power Plant and rural electrification initiatives, but there are no structured capacity-building programs, feasibility studies, or a dedicated energy data repository, limiting the state’s ability to expand access efficientl",418.5517708
Anambra,South East,0,3,3,2,0,-,0,-,0,-,0,13,3,2,4,1,1,1,411.3,0.0075,NA,EEDC,46.89,1.346019429,1.824661711,1.703249424,0,0,0,"Anambra State has no documented electrification plan or strategy. While the state has expressed interest in passing an electricity law, there is no confirmation on","With an average score of 3, Anambra shows moderate progress. The state has a fair budget allocation to energy (score: 3) and a PPP structure",Operational Substations Anambra State has four (4) substations with capacity of 411.3MW under the Enugu Electricity Distribution Company (EEDC) network. Infrastructure Capacity EEDC has a,"Anambra State has made progress in its electricity sector but still faces significant gaps in regulation, project planning, and capacity building. While the state is",No specific information on energy data collection systems in Anambra State was found,"Anambra State has shown moderate progress in its electricity sector but lacks a structured electrification plan, an operational regulatory framework, or a dedicated agency for energy planning and monitoring. While the state has expressed interest in passing an electricity law, there is no confirmation of a drafted bill, and regulatory oversight remains under federal control. Funding for the energy sector is fair, with some budget allocation and a developing PPP framework, though strong FDI inflows indicate investor confidence. The state has four substations with a total capacity of 411.3MW but receives only 69.56% of its required energy from the national grid, leading to supply shortfalls. Customer metering stands at 46.89%, with ongoing efforts to improve distribution efficiency in collaboration with EEDC. While urban areas have relatively stable electricity, rural communities remain underserved, and no structured asset replacement plan exists. Electrification projects, such as a 7.5kW solar minigrid for a hospital and a 33kV rural electrification project, aim to improve access. However, capacity-building initiatives are limited to small-scale solar training, and the absence of structured feasibility studies hampers strategic electrification efforts. Additionally, no evidence of a dedicated energy data collection system was found, limiting data-driven decision-making",1114.442008
Bauchi,North East,2,2,2,1,2,Submitted,2,Developing,4,Early stage,1,10,2,2,4,1,1,1,83,30,15,JEDC,33.71,0.837521095,0.617236711,0.575984194,1,0,0,"Bauchi State has a developed and aligned electrification plan, but it is not yet operationalized. The electrification law is still in review stage, and the","Bauchi State scores 2, indicating early-stage energy sector development. Its budget allocation to energy is relatively low (score: 2), and PPP activity is limited (score:",Operational Substations Bauchi State is served by two (2) substations with a capcity of 83MW under the jurisdiction of the Jos Electricity Distribution Company (JosEDC).,"Bauchi State has limited capacity readiness for managing its electricity sector, with significant gaps in regulation, capacity building, legal framework, and project planning. The state","Bauchi State lacks a dedicated energy data agency, but the Ministry of Power has a department responsible for data collection, using both manual records and","Bauchi State has an electrification plan, but it is not yet operational. The electricity law is under review, and no sub-distribution company has been created. While renewable energy policies exist, they are rarely updated, and structured plans to expand electricity access are still in development. The state faces financial, technical, and human resource constraints, though consultants have been engaged for support.

Funding for energy is low, and PPP activity is limited, but foreign investment interest is growing. Bauchi state has an estiamted demand of 500MW but only receives 120MW. Metering coverage is low, and there is no structured asset replacement plan. Key projects include the Kafin Zaki Dam (15 MW hydro) and a 30 MW solar project with CCECC.

Bauchi lacks a dedicated electricity regulatory agency, with the Ministry of Power handling all electricity-related activities, resulting in weak project planning and regulation. There are no formal capacity-building programs, and feasibility studies are limited. Data collection is manual with GPS tracking, but the absence of a centralized system hinders effective planning",188.6495729
Bayelsa,South South,1,1,2,2,0,Passed,3,-,0,Early stage,1,8,2,1,0,0,0,1,92.96,0.08,NA,PHEDC,43.46,1.172229502,1.672219028,1.611770255,0,0,0,"Bayelsa State does not have a documented electrification plan, but its state electricity bill has been signed into law. There is no available information on","Bayelsa scores 1, showing minimal engagement in energy investments. The state has low budget allocation (score: 2), a weak PPP framework (score: 1), and negligible","Operational Substations Bayelsa State has one substation under the Port Harcourt Electricity Distribution Company (PHED). Infrastructure Capacity PHED has a 1,127.1 MW capacity but received","Bayelsa State has limited capacity readiness for managing its electricity sector, with significant gaps in regulation, capacity building, legal framework, and project planning. The state",No specific information on energy data collection systems was found,"Bayelsa State has signed its electricity law but lacks a documented electrification plan, regulatory transfer, or a sub-distribution company. While no formal renewable energy policies exist, the state is developing renewable projects and has approved the purchase of 60MW gas turbines. Budget allocation to energy is low, with minimal PPP activity and negligible foreign investment. The state has one substation under PHED, but power availability remains limited. Metering coverage is low, and rural areas face severe electricity shortages. Bayelsa lacks a structured asset replacement plan but has an 80kWp solar mini-grid and a proposed 60MW power plant. Capacity constraints persist due to the absence of a dedicated electrification agency, structured feasibility studies, and technical training programs. Data readiness is weak, with no centralized energy data system in place.",244.3595856
Benue,North Central,2,3,2,1,1,Drafted,1,Setup,2,-,0,8,2,1,1,0,0,1,99,NA,10,JEDC,33.71,0.204131582,0.188694878,0.870592231,0,0,0,"In response to the Electricity Act 2023, Benue State established a dedicated Ministry of Power and Renewable Energy to oversee energy development within the state.","With an average score of 1, Benue State exhibits limited progress. Despite allocating some funds to energy projects (score: 2), it has a weak PPP",Operational Substations Benue State has three (3) substations of capacity of 99MW under JosEDC. Infrastructure Capacity JosEDC operates at 445 MW but receives only 72.24%,"Benue State has limited capacity readiness for managing its electricity sector, with significant gaps in regulation, capacity building, legal framework, and project planning. Currently, the","Benue State has no structured system for electrification data collection, relying on scattered data from JEDC and TCN without a centralized database. While an energy","Benue State has established a Ministry of Power and Renewable Energy and formulated an energy and power policy as part of its development plan. A draft Electricity Law has been submitted for legislative approval, but regulatory transfer has not occurred, and no sub-distribution company has been created. The state allocates some funding to energy projects but has a weak PPP framework and minimal foreign investment. It has three substations under JosEDC but faces power supply shortfalls. Metering coverage is low, and electricity access remains limited, particularly in rural areas. Ongoing projects include transformer procurement, rural electrification efforts, and a proposed 10MW embedded power plant. Institutional capacity is weak due to the absence of a dedicated electrification agency and structured feasibility studies. Data readiness is low, with no centralized system for energy data collection.",198.1631757
Borno,North East,0,1,2,2,0,-,0,Collaborate,1,Early stage,1,7,2,1,1,0,0,1,55.83,NA,NA,YEDC,14.43,1.509036604,1.167116767,1.774275337,0,0,0,"Borno State does not have a documented electrification plan, electricity law, or legal framework for regulatory transfer. There is no established sub-distribution company, and no","Borno scores 1, reflecting minimal engagement in the energy sector. The budget allocation is low (score: 2), and the PPP framework is underdeveloped (score: 1).",Number of Substations and Capacity Borno State is served by four (4) substations with capacity of 55.83MW under Yola Electricity Distribution Company (YEDC). YEDC has,"Borno State faces profound challenges in managing its electricity sector, largely due to ongoing security concerns and institutional disruptions. The state currently lacks a dedicated",No specific information on energy data collection systems was found,"Borno State lacks an electrification plan, electricity law, and regulatory framework for power sector management. No sub-distribution company has been established, and policy reviews are unspecified. The state has a Climate Resilience Action Plan that includes renewable energy integration and is collaborating with the REA on a solar hybrid power plant for universities. However, broader electrification efforts remain undocumented. The state has an Investment Promotion Agency Law to support PPPs, but investment remains minimal. Borno has four substations under YEDC, which faces power infrastructure challenges due to vandalism. Ongoing projects include repairs to damaged lines, new injection substations in Bama and Biu, and EU-funded solar micro-grids. The absence of a dedicated electrification agency, regulatory oversight, and capacity-building initiatives weakens institutional readiness, and no structured energy data system exists",250.0725082
Cross-River,South South,1,3,2,2,2,Submitted,2,-,0,-,0,7,2,1,1,0,0,1,209.15,0.06,NA,PHEDC,43.46,1.507363407,1.451256995,1.524469364,0,0,0,"Cross River State’s electrification plan is under development, and its electricity law is under review awaiting passage. Cross River is actively working on establishing a","Cross River has an average score of 1, reflecting limited progress. The state’s budget allocation to energy is low (score: 2), its PPP framework is",Number of Substations and Capacity Cross River State is served by three (3) substations under the Port Harcourt Electricity Distribution Company (PHEDC) which has capacity,"Cross River State has made some strides in its electricity sector with an existing State Electrification Agency (SEA) responsible for rural electrification. However, the SEA","Cross River State lacks a dedicated energy data agency, with the Ministry of Power handling data collection manually and limited use of digital systems. While","Cross River State’s electrification plan is under development, and its electricity law is under review. The state is working to establish a regulatory framework for independent electricity market operations. Cross River has three substations under PHEDC. Metering coverage stands at 43.46%, with significant gaps remaining. Ongoing electrification efforts include 10,000 solar home systems for remote communities, a 60kWp solar mini-grid at Obudu Cattle Ranch, and the restoration of power to Bekwarra LGA after 15 years.

The State Electrification Agency (SEA) manages rural electrification but faces financial and technical constraints. The proposed electricity law aims to establish a regulatory commission and an SPV for government-led initiatives. However, investment in the sector remains limited, with a weak PPP framework and minimal foreign direct investment. The state’s energy budget allocation is low, affecting project execution. Data collection is handled manually by the Ministry of Power, with limited digital integration, though modernization efforts are planned.",93.20518325
Delta,South South,2,2,3,1,0,Passed,3,-,0,-,0,10,2,3,1,0,0,1,342.2,200,NA,BEDC,49.14,0.592805064,0.46404614,0.10837053,0,0,0,"Delta State has a renewable energy policy roadmap and has passed its Electricity Power Sector Bill, aligning with the Electricity Act 2023. However, there is","Delta State scores 2, indicating early-stage development. It has somewhat moderate budget allocation to energy (score: 2), an emerging PPP framework (score: 3), and moderate","Delta State has six (6) substations cacpacity of 342.2MW under BEDC. BEDC has a total capacity of 845MW, receiving 83.12% of its required energy from","Delta State has made initial strides toward managing its electricity sector, but significant gaps remain in its institutional framework, capacity building, and project planning. The",No specific information on energy data collection systems was found,"Delta State has a renewable energy policy roadmap and has passed its Electricity Power Sector Bill, but lacks a legal framework for regulatory transfer and a sub-distribution company. While some Public-Private Partnership (PPP) projects exist, there is no publicly available framework guiding private sector participation.

The state has six substations (342.2MW) under BEDC. Metering rate for the DISCO stands at 49.14%, leaving a significant portion of customers unmetered. Ongoing projects include the 200MW Ashama Solar Power Plant, a 7.5MVA substation in Orogun, and a 2.5MVA Independent Power Plant (IPP) for government facilities. Additionally, power was recently restored to Ika South after 15 years, improving business activities and household access.

Despite these developments, Delta State lacks a dedicated agency for electrification planning and implementation. Capacity-building initiatives remain limited, and there are gaps in pre-development activities such as feasibility studies and structured investment planning, which could hinder long-term energy sector improvements",506.4864762
Ebonyi,South South,1,1,1,1,0,Passed,3,-,0,Early stage,1,9,2,1,1,0,0,1,87.8,NA,NA,EEDC,46.89,0.371601663,0.580705866,0.377699097,0,0,0,"Ebonyi State has passed its electrification bill into law, aligning with the Electricity Act 2023. However, regulatory oversight has not been transferred, and there is","Ebonyi’s average score of 1 shows minimal energy sector development. The budget allocation (score: 2) is low, the PPP framework is weak (score: 1), and","Ebonyi State, under the Enugu Electricity Distribution Company (EEDC), has 2 substations of state capacity of 87.8MW while the EEDC capacity of 1127.1MW, receives 69.56%","Ebonyi State has limited capacity readiness for managing its electricity sector, with significant gaps in institutional framework, capacity building, and project planning. Currently, there is",No specific information on energy data collection systems was found,"Ebonyi State has passed its electrification bill in line with the Electricity Act 2023 but has not yet transferred regulatory oversight. There is no documented electrification plan or renewable energy policy, though renewable energy projects have been carried out. The state has a PPP Manual guiding private-sector participation in energy projects.

Ebonyi is served by 2 substations (87.8MW) under EEDC. The DISCOs metering rate is 46.89%, with ongoing efforts to improve coverage. Infrastructure upgrades include substation expansions, transformer replacements, and distribution network reinforcements. The state also benefits from REA-led rural electrification projects, including mini-grids and solar solutions for off-grid communities, alongside grid extension projects.

Despite these developments, Ebonyi lacks a dedicated agency for electrification planning, project monitoring, and implementation. Limited capacity-building programs and inadequate resources for feasibility studies and structured project planning hinder investment and long-term energy development. There is no publicly available information on energy data collection systems",176.8834154
Edo,South South,2,1,3,1,0,Passed,3,Developing,4,Developing,2,3,1,2,1,0,0,1,300.7,NA,461,BEDC,49.14,0.023309941,0.217769504,0.225653791,0,0,0,"Edo State has passed its electrification law, and regulatory oversight has been transferred from NERC to the Edo State Electricity Regulatory Commission in line with","Edo scores 1, reflecting slow progress in energy sector investment. The budget allocation to energy is low (score: 1), the PPP framework remains weak (score:","Edo State has 6 substations with capacity of 300.7MW. BEDC has a total capacity of 845MW, receiving 83.12% of its required energy. The metering rate","Edo State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",No specific information on energy data collection systems was found,"Edo State has passed its electrification law and transferred regulatory oversight to the Edo State Electricity Regulatory Commission under the Electricity Act 2023. However, there is no publicly available electrification plan or strategy. The state hosts several renewable energy projects and a Center for Renewable Energy and Sustainable Development, but no formal policy document has been identified. Edo has a PPP office to facilitate energy investments, but the extent of its activities is unclear.

Edo is served by six (6) substations (300.7MW) under BEDC, which has a total capacity of 845MW, receiving 83.12% of its required energy from the national grid. The DISCOs metering rate is 49.14%, reflecting ongoing improvements. Infrastructure upgrades include network expansion, transformer rehabilitation, and substation enhancements. The Azura-Edo IPP (461MW gas-fired plant) supports electricity supply, particularly for commercial and industrial consumers. Rural electrification projects, including mini-grids and off-grid solar solutions, aim to extend power access.

Despite these efforts, Edo lacks a dedicated agency for electrification planning, project monitoring, and implementation. Limited capacity-building initiatives and insufficient resources for feasibility studies hinder structured project planning and investment readiness. There is no publicly available information on energy data collection systems",607.3286519
Ekiti,South West,3,1,1,2,1,Passed,3,Established,5,Operational,3,2,1,2,1,0,0,1,89.7,NA,NA,BEDC,49.14,1.479792381,1.079571124,1.740706421,0,0,0,"Ekiti State has a fully developed, operationalized electrification plan that aligns with national goals. The electrification law is fully passed and aligned with the Electricity","Ekiti’s average score of 1 suggests minimal engagement in the energy sector. It has low budget allocation (score: 1), a weak PPP structure (score: 2),","Ekiti state has one (1) substaion with a 89.7MW capcity under BEDC. BEDC has a total capacity of 845MW, receiving 83.12% of its required energy.","Ekiti State has made initial strides in managing its electricity sector through the Ekiti State Electricity Regulatory Bureau, which is tasked with overseeing electricity management.","Ekiti State lacks a dedicated energy data agency, relying on the Regulatory Bureau and BEDC reports without a centralized database. Data collection occurs infrequently (every","Ekiti State has a fully developed and operationalized electrification plan aligned with national goals. Its electrification law is fully passed, and the legal framework for regulatory transfer is operational. The state has successfully established a sub-disco and implemented comprehensive renewable energy policies, with annual policy reviews. A PPP policy supports energy projects, but funding remains a challenge. The Ekiti State Electricity Regulatory Bureau oversees electricity management, mirroring NERC at the subnational level.The state's short-term goal is to increase electricity access from 40% to 70%, while the long-term goal is universal access. Efforts focus on attracting private sector investment and federal financial support to drive implementation.

Ekiti is served by one (1) substation (89.7MW) under BEDC. The DISCos metering rate stands at 49.14%, indicating ongoing improvements. However, based on stakeholders engagement the The state metering rate currently stands at 19% leaving 80% metering gap. Infrastructure projects include a 3.6MW Fenchurch Group power plant for government and business supply, alongside REA initiatives for rural electrification.Despite these strides, Ekiti faces capacity challenges. While personnel have received training in Ghana (AfDB support) and NERC-led workshops, gaps persist in energy regulation, utility management, and investment structuring. Further training is needed in financial modeling and project development to attract private investment.

Ekiti lacks a centralized energy data agency, relying on Regulatory Bureau and BEDC reports. Data collection is infrequent (every 4–5 years), with no geospatial database, limited household data, and reliance on semi-automated tools—hindering planning and decision-making",166.1862876
Enugu,South East,4,1,2,1,0,Passed,3,Established,5,Operational,3,7,2,1,1,0,0,1,275.1,300,NA,EEDC,46.89,0.583180715,0.744007357,0.10107284,0,0,0,"Enugu State has a comprehensive electrification plan that includes a commercial framework, rural electrification initiatives, and social programs. The state has passed the Enugu Electricity","Enugu scores 1, showing limited progress. Its budget allocation to energy is low (score: 2), the PPP framework is weak (score: 1), and foreign investor","Enugu State operates 4 substations with a capacity of 275.1MW. While EEDC has a total capacity of 1127.1MW, receiving 69.56% of its required energy. EEDC","Enugu State has limited capacity readiness for managing its electricity sector, with significant gaps in institutional framework, capacity building, and project planning. Currently, there is",No specific information on energy data collection systems was found,"Enugu State has a comprehensive electrification plan aligned with the Electricity Act 2023 and has transferred regulatory oversight to the Enugu State Electricity Regulatory Commission (ESERC). The state operates a sub-disco, Mainpower Electricity Distribution Company, and integrates renewable energy policies, though there is no defined policy review frequency.

The state has four (4) substations (275.1MW capacity) under EEDC, which receives 69.56% of its required energy. The metering rate is 46.89%. Infrastructure projects include substation expansions, transformer replacements, feeder upgrades, and IPPs and mini-grid solar projects to improve industrial and rural electrification.

Enugu has limited private sector participation, and foreign investment is minimal. While there is a PPP framework, it is underdeveloped, and funding gaps affect project execution.

Additionally, institutional gaps persist, with no dedicated electrification agency, limited capacity-building programs, and insufficient funding for feasibility studies, impacting strategic planning and investment readiness.

No specific energy data collection system was found",625.5279266
Gombe,North East,1,1,2,1,2,Submitted,2,Developing,4,Early stage,1,0,1,1,0,0,0,1,74,100.085,150,JEDC,33.71,0.828558616,0.42075626,0.729044182,0,0,0,"Gombe State’s electrification plan is under development, and its electrification laws are still in the review stage. The legal framework for regulatory transfer is under","Gombe scores 1, indicating slow energy sector development. It has a low budget allocation (score: 1), a weak PPP framework (score: 1), and no notable",Gombe state has 2 Substaions with a capacity of 74MW under JEDC. JosEDC has a capacity of 445 MW but received only 72.24% of its,"Gombe State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",Gombe State lacks a dedicated energy data agency but has a department handling data collection without a structured storage and analysis system. While data is,"Gombe State’s electrification plan and laws are still under development, with regulatory transfer and renewable energy policies in progress. Policy review occurs every 2–3 years, but frameworks for electricity access expansion and PPPs remain unfinished. The state relies on collaborations for financial, technical, and human resources, with capacity-building initiatives planned. In the short term, Gombe aims to develop Balanga Dam (320kVA), while the long-term focus is on the 100MW Jauro Jingi Solar Plant, requiring federal support for funding and regulatory approvals. The state has two substations with state demand of 100-120MW but only receives 20-25MW from nation grid via JEDC, creating a deficit of up to 100MW. As of Q3-2024 NERC, JEDC has only metered 33.71% of its registered customer. However, based on the state stakholders engagement, the state Metering penetration remains low, with an estimated 50,000 meters installed, of which only 50-60% are active.

Despite challenges, Gombe is investing in energy projects, including an 85kW solar mini-grid in Dakkiti, a 100MW solar plant in partnership with China Railway 18th Bureau, and the 150MW Apexa Power Plant to support industry and agriculture. Distribution improvements include new 33KV feeders in Billiri to enhance supply in four LGAs, and the state participates in the DARES program to expand solar mini-grids and home systems. 

Capacity readiness is limited, with no dedicated electrification agency, weak project planning, and minimal capacity-building efforts. The lack of structured pre-development activities, such as feasibility studies and needs assessments, hampers bankable project development. Data management is weak, with an energy department handling collection every 2–3 years but lacking geospatial mapping, audits, and structured storage, though plans for smart metering and digital systems are underway",170.3857184
Imo,South East,2,2,2,1,0,Passed,3,Setup,2,Early stage,1,0,1,5,1,0,0,1,250.9,NA,338,EEDC,46.89,0.050125096,0.517648987,0.348442266,0,0,0,Imo State has passed its electricity law and transferred regulatory oversight from NERC to the newly established Imo State Electricity Regulatory Commission (ISERC) in line,"Imo scores 2, showing early-stage development in the energy sector. It has a high PPP score (5) but a low budget allocation (score: 1) and","Imo State has one (1) substaion with a capacity of 250.9MW. While EEDC has a total capacity of 1127.1MW, receiving 69.56% of its required energy.","Imo State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",No specific information on energy data collection systems was found,"Imo State has passed its electricity law, transferring regulatory oversight to the Imo State Electricity Regulatory Commission (ISERC) and directing EEDC to establish a subsidiary for intrastate distribution, though implementation updates are unclear. The state lacks a comprehensive electrification policy, rural electrification plan, and renewable energy integration strategy. Infrastructure includes one substation (250.9MW) and EEDC’s total capacity of 1127.1MW, receiving 69.56% of its required energy with a metering rate of 46.89%. 

Key projects include the Orashi Electricity Company for uninterrupted power, the Light Up Imo Project for infrastructure upgrades, and the 338MW Egbema Power Station under NIPP. The ANOH Gas Project aims to supply 300 million cubic feet of gas per day to boost industrial growth. A local community recently invested in a 500KVA transformer, demonstrating grassroots commitment to power access. However, Imo lacks a dedicated electrification agency, structured project planning, and a formal energy data collection system",513.1489108
Jigawa,North West,1,2,3,1,0,Passed,3,Setup,2,Early stage,1,3,1,4,2,1,0,1,85.3,2300,NA,KEDC,24.29,0.310853486,0.69305496,0.330291459,0,0,0,Jigawa State is working to align with the Electricity Act 2023 and has established a Ministry of Power and Renewable Energy to drive infrastructure development.,"Jigawa scores 2, indicating moderate progress. It has a decent PPP framework (score: 4) but low budget allocation (score: 1) and minimal FDI inflows (score:",Jigawa State has 3 substations with 85.31MW capacity. Kano EDC (KEDC) has a 500.80MW capacity receiving 74.42% of its required energy. KEDC metering rate is,"Jigawa State has limited capacity readiness for managing its electricity sector, with significant gaps in its institutional framework, capacity building, and project planning. Currently, there",No specific information on energy data collection systems was found,"Jigawa State is making significant strides in energy infrastructure, focusing on renewable energy to enhance electricity access and economic growth. A key initiative is the 1GW Jigawa Solar Park, covering 2,000 hectares, alongside partnerships with five firms to deliver 1,300MW of solar power through a $2 billion investment. The state has also collaborated with the REA to develop 21 mini-grid clean energy projects across 21 LGAs, aiming to provide electricity to 1 million people. However, Jigawa lacks a dedicated agency for electrification planning, structured capacity-building programs, and sufficient resources for feasibility studies and project development.

The state has 3 substations with 85.31MW capacity, while Kano EDC has a total capacity of 500.80MW, receiving 74.42% of its required energy, with a metering rate of 24.29%. Jigawa has established a Ministry of Power and Renewable Energy and signed an electricity regulatory commission law, but there is no confirmed alignment with the Electricity Act 2023, documented electrification plan, or regulatory framework for sub-distribution. While committed to improving electricity access, the state lacks a structured policy, commercial framework, and regulatory clarity",148.7937597
