region,state,lga,count
North Central,Benue,Ado,11
North Central,Benue,Agatu,11
North Central,Benue,Apa,11
North Central,Benue,Buruku,11
North Central,Benue,Gboko,11
North Central,Benue,Guma,14
North Central,Benue,Gwer East,11
North Central,Benue,Gwer West,18
North Central,Benue,Katsina-Ala,11
North Central,Benue,Konshisha,11
North Central,Benue,Kwande,11
North Central,Benue,Logo,11
North Central,Benue,Makurdi,11
North Central,Benue,Obi,11
North Central,Benue,Ogbadibo,11
North Central,Benue,Ohimini,11
North Central,Benue,Oju,11
North Central,Benue,Okpokwu,11
North Central,Benue,Oturkpo,11
North Central,Benue,Tarka,11
North Central,Benue,Ukum,11
North Central,Benue,Ushongo,11
North Central,Benue,Vandeikya,11
North Central,FCT-Abuja,Abaji,33
North Central,FCT-Abuja,Abuja Municipal Area Council,24
North Central,FCT-Abuja,Bwari,25
North Central,FCT-Abuja,Gwagwalada,33
North Central,FCT-Abuja,Kuje,24
North Central,FCT-Abuja,Kwali,24
North Central,Kogi,Adavi,9
North Central,Kogi,Ajaokuta,8
North Central,Kogi,Ankpa,8
North Central,Kogi,Bassa,8
North Central,Kogi,Dekina,9
North Central,Kogi,Ibaji,8
North Central,Kogi,Idah,9
North Central,Kogi,Igalamela-Odolu,8
North Central,Kogi,Ijumu,8
North Central,Kogi,Kabba/Bunu,8
North Central,Kogi,Koton karfe,8
North Central,Kogi,Lokoja,8
North Central,Kogi,Mopa-Muro,8
North Central,Kogi,Ofu,8
North Central,Kogi,Okehi,8
North Central,Kogi,Okene,8
North Central,Kogi,Olamaboro,8
North Central,Kogi,Omala,8
North Central,Kogi,Yagba East,8
North Central,Kogi,Yagba West,8
North Central,Kogi,ogori/magongo,8
North Central,Kwara,Asa,9
North Central,Kwara,Ekiti,10
North Central,Kwara,Ifelodun,9
North Central,Kwara,Ilorin East,10
North Central,Kwara,Ilorin West,10
North Central,Kwara,Irepodun,28
North Central,Kwara,Isin,22
North Central,Kwara,Latiagi,10
North Central,Kwara,Moro,10
North Central,Kwara,Offa,11
North Central,Kwara,Oke Ero,22
North Central,Kwara,Oyun,11
North Central,Nasarawa,Akwanga,8
North Central,Nasarawa,Awe,8
North Central,Nasarawa,Doma,10
North Central,Nasarawa,Karu,11
North Central,Nasarawa,Keffi,8
North Central,Nasarawa,Kokona,8
North Central,Nasarawa,Lafia,11
North Central,Nasarawa,Nasarawa,8
North Central,Nasarawa,Nasarawa Eggon,8
North Central,Nasarawa,Obi,9
North Central,Nasarawa,Toto,8
North Central,Nasarawa,Wamba,10
North Central,Nasarawa,keana,8
North Central,Niger,Agaie,11
North Central,Niger,Bida,14
North Central,Niger,Borgu,11
North Central,Niger,Bosso,11
North Central,Niger,Chanchaga,10
North Central,Niger,Edati,10
North Central,Niger,Gbako,9
North Central,Niger,Gurara,7
North Central,Niger,Katcha,7
North Central,Niger,Kontagora,7
North Central,Niger,Lapai,7
North Central,Niger,Lavun,10
North Central,Niger,Magama,10
North Central,Niger,Mariga,7
North Central,Niger,Mashegu,10
North Central,Niger,Mokwa,8
North Central,Niger,Munya,10
North Central,Niger,Paikoro,7
North Central,Niger,Rafi,8
North Central,Niger,Shiroro,10
North Central,Niger,Suleja,14
North Central,Niger,Tafa,9
North Central,Niger,Wushishi,10
North Central,Plateau,Barkin Ladi,9
North Central,Plateau,Bassa,9
North Central,Plateau,Bokkos,9
North Central,Plateau,Jos East,10
North Central,Plateau,Jos North,9
North Central,Plateau,Jos South,9
North Central,Plateau,Kanam,10
North Central,Plateau,Kanke,9
North Central,Plateau,Langtang North,9
North Central,Plateau,Langtang South,9
North Central,Plateau,Mangu,9
North Central,Plateau,Mikang,9
North Central,Plateau,Pankshin,8
North Central,Plateau,Quaran Pan,9
North Central,Plateau,Riyom,9
North Central,Plateau,Shendam,8
North Central,Plateau,Wase,9
North East,Adamawa,Demsa,8
North East,Adamawa,Fufure,7
North East,Adamawa,Ganye,7
North East,Adamawa,Girei,7
North East,Adamawa,Gombi,7
North East,Adamawa,Guyuk,7
North East,Adamawa,Hong,7
North East,Adamawa,Jada,8
North East,Adamawa,Lamurde,7
North East,Adamawa,Madagali,7
North East,Adamawa,Maiha,7
North East,Adamawa,Mayo Belwa,7
North East,Adamawa,Michika,7
North East,Adamawa,Mubi North,7
North East,Adamawa,Mubi South,7
North East,Adamawa,Numan,7
North East,Adamawa,Shelleng,7
North East,Adamawa,Song,7
North East,Adamawa,Toungo,9
North East,Adamawa,Yola North,7
North East,Adamawa,Yola South,7
North East,Bauchi,Alkaleri,11
North East,Bauchi,Bauchi,12
North East,Bauchi,Bogoro,10
North East,Bauchi,Damban,10
North East,Bauchi,Darazo,10
North East,Bauchi,Dass,10
North East,Bauchi,Gamawa,11
North East,Bauchi,Ganjuwa,10
North East,Bauchi,Giade,10
North East,Bauchi,Itas/Gadau,12
North East,Bauchi,Jama'are,11
North East,Bauchi,Katagum,10
North East,Bauchi,Kirfi,10
North East,Bauchi,Misau,10
North East,Bauchi,Ningi,10
North East,Bauchi,Shira,10
North East,Bauchi,Tafawa Balewa,10
North East,Bauchi,Toro,10
North East,Bauchi,Warji,10
North East,Bauchi,Zaki,10
North East,Borno,Askira/Uba,6
North East,Borno,Bama,14
North East,Borno,Bayo,7
North East,Borno,Biu,13
North East,Borno,Chibok,7
North East,Borno,Damboa,7
North East,Borno,Dikwa,13
North East,Borno,Gubio,13
North East,Borno,Gwoza,12
North East,Borno,Hawul,8
North East,Borno,Jere,14
North East,Borno,Kaga,14
North East,Borno,Konduga,13
North East,Borno,Kwaya Kusar,7
North East,Borno,Mafa,13
North East,Borno,Magumeri,14
North East,Borno,Maiduguri,12
North East,Borno,Nganzai,13
North East,Borno,Shani,6
North East,Gombe,Akko,11
North East,Gombe,Balanga,11
North East,Gombe,Billiri,11
North East,Gombe,Dukku,12
North East,Gombe,Funakaye,11
North East,Gombe,Gombe,11
North East,Gombe,Kaltungo,11
North East,Gombe,Kwami,11
North East,Gombe,Nafada,11
North East,Gombe,Shongom,11
North East,Gombe,Yamaltu/Deba,11
North East,Taraba,Ardo Kola,8
North East,Taraba,Bali,8
North East,Taraba,Donga,8
North East,Taraba,Gashaka,8
North East,Taraba,Gassol,8
North East,Taraba,Ibi,8
North East,Taraba,Jalingo,8
North East,Taraba,Karim Lamido,8
North East,Taraba,Kurmi,8
North East,Taraba,Lau,8
North East,Taraba,Sardauna,8
North East,Taraba,Takum,8
North East,Taraba,Ussa,8
North East,Taraba,Wukari,9
North East,Taraba,Yorro,8
North East,Taraba,Zing,8
North East,Yobe,Bade,7
North East,Yobe,Bursari,7
North East,Yobe,Damaturu,7
North East,Yobe,Fika,7
North East,Yobe,Fune,7
North East,Yobe,Geidam,7
North East,Yobe,Gujba,7
North East,Yobe,Gulani,7
North East,Yobe,Jakusko,7
North East,Yobe,Karasuwa,7
North East,Yobe,Machina,7
North East,Yobe,Nangere,7
North East,Yobe,Nguru,7
North East,Yobe,Potiskum,7
North East,Yobe,Tarmuwa,7
North East,Yobe,Yunusari,7
North East,Yobe,Yusufari,7
North West,Jigawa,Auyo,9
North West,Jigawa,Babura,8
North West,Jigawa,Birnin Kudu,8
North West,Jigawa,Birniwa,8
North West,Jigawa,Buji,8
North West,Jigawa,Dutse,8
North West,Jigawa,Gagarawa,8
North West,Jigawa,Garki,8
North West,Jigawa,Gumel,8
North West,Jigawa,Guri,8
North West,Jigawa,Gwaram,8
North West,Jigawa,Gwiwa,8
North West,Jigawa,Hadejia,8
North West,Jigawa,Jahun,8
North West,Jigawa,Kafin Hausa,8
North West,Jigawa,Kaugama,8
North West,Jigawa,Kazaure,9
North West,Jigawa,Kiri Kasama,10
North West,Jigawa,Kiyawa,8
North West,Jigawa,Maigatari,8
North West,Jigawa,Malam Madori,8
North West,Jigawa,Miga,8
North West,Jigawa,Ringim,8
North West,Jigawa,Roni,8
North West,Jigawa,Sule Tankarkar,8
North West,Jigawa,Taura,8
North West,Jigawa,Yankwashi,8
North West,Kaduna,Chikun,10
North West,Kaduna,Giwa,9
North West,Kaduna,Igabi,11
North West,Kaduna,Ikara,9
North West,Kaduna,Jaba,9
