region,reg_summary,state,State,State_2,Data Source,Electricity Law,Electricity Law Text,Regulatory Framework,Regulatory Framework Text,Electrification Plan/Strategy,Electrification Plan/ Text,Policy_Score,Policy_Comment,Policy,Budget Allocation,Budget Allocation Text,PPP Office,PPP Office Text,External Funding,External Funding Text,Funding_Score,Funding_Comment,Funding,% of Transmission Capacity to Household Demand,% of Transmission Capacity to Household Demand Text,% of Grid Connection,% of Grid Connection Text,Metering Rate,Metering Rate Text,Infrastructure_Score,Infrastructure_Comment,Infrastructure,Stakeholder Engagement,Stakeholder Engagement Text,Pre-Development Capacity,Pre-Development Capacity Text,Development Capacity,Development Capacity Text,Operational Capacity,Operational Capacity Text,Capacity_Score,Capacity_Comment,Capacity,Dedicated Agency,Dedicated Agency Text,Data Accessibility,Data Accessibility Text,Data_Score,Data_Comment,Data,Total,State__Score,State Score,State_summary,region_summary,Logo,Status
South East,,Abia,Abia,Abia State,"Desktop, Questionnaire",4,Law has been passed but not yet widely publicized.,2,SERC concept or policy proposal in development.,2,"Draft electrification plan developed, not yet adopted.",3,Progressing,2.666666667,3,Energy projects receive 2.1% to 3.1% of the budget.,2,"Developing: Fewer than five PPPs, evolving office.",5,"Optimised: Over $100M in FDI, sustained investor confidence.",3,Progressing,3.333333333,3,Greater than 40% but not more than 60%,4,Greater than 60% but not more than 80%,3,Greater than 80% ,3,Progressing,3.333333333,1,Early Stage:Informal engagement with communities. No structured campaigns,1,Early Stage: No functional agency. No budget or staff allocated for assessments,1,Early Stage: No project planning agency. No dedicated team.,1,"Early Stage: No sustainability systems, rare performance reports.",1,Early Stage,1,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,32,2.133333333,2,"Abia State is still developing its electrification plan, and has passed its electricity law though it is not yet fully aligned with the Electricity Act 2023. The legal framework for regulatory transfer is under development, and plans to establish sub-distribution companies are in progress. Electricity access plans are still in the drafting stage, but some resources are available to support future implementation. Investment interest is strong, with a reasonable budget allocated for energy projects and notable foreign direct investment. However, the state’s PPP framework remains weak, limiting private sector participation. Transmission capacity meets just over half of household demand, with a metering rate of 43.46% and 73.4% grid coverage. Abia has 141 MW of independent power producer (IPP) capacity but no available mini-grid data. Despite these efforts, gaps remain in data management. Abia State's electricity capacity is partially developed. The state demonstrates strengths in Stakeholder Engagement and Development. However, it lacks essential frameworks for Pre-Development and Operational Capacity. The state needs to focus on developing Pre-Development and Operational systems to build effective electricity infrastructure capacity.",,,Developing
North East,,Adamawa,Adamawa,Adamawa State,"Desktop ,Interview Questionnaire",0,No law has been drafted or initiated.,2,SERC concept or policy proposal in development.,2,"Draft electrification plan developed, not yet adopted.",1,Early Stage,1.333333333,5,"State allocates >4.1% to energy, with strong PPPs and FDI.",1,"Early Stage: PPP office established, no transactions.",4,"Advanced: $20M-$100M in FDI, strong investment potential.",3,Progressing,3.333333333,2,Between 20% and 40%,5,Greater than 80% ,1,Less than 20%,3,Progressing,2.666666667,1,Early Stage:Informal engagement with communities. No structured campaigns,1,Early Stage: No functional agency. No budget or staff allocated for assessments,1,Early Stage: No project planning agency. No dedicated team.,1,"Early Stage: No sustainability systems, rare performance reports.",1,Early Stage,1,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,27,1.8,2,"Adamawa State's electrification plan iand regulatory structure are under development and they are yet to pass their electricity law,. There is no sub-disco, renewable energy policy, or structured policy review, though consultations are ongoing to address regulatory gaps. The state is working on a PPP policy and plans to retain the Electricity Regulatory Commission and Rural Electrification Agency while establishing new regulatory bodies. The state demonstrates strengths in Stakeholder Engagement, Pre-Development, Development, and Operational Capacity. The state should prioritize improvements in Operational Capacity to further enhance its overall electricity infrastructure performance.Transmission capacity meets only 34.03% of household demand, with a low metering rate of 14.43% but relatively high grid coverage at 84.8%. There are no recorded mini-grid or IPP capacities. The state's energy department is newly established and does not yet have a system for energy data collection or management.",,,Developing
South South,,Akwa-Ibom,Akwa-Ibom,Akwa Ibom State,"Desktop, Questionnaire",5,"Law passed, gazetted, and under active implementation.",3,"SERC legally established, NERC transferred oversight.",3,"Electrification plan adopted, early implementation underway.",4,Advanced,3.666666667,1,Energy receives <1.1% of the budget.,1,"Early Stage: PPP office established, no transactions.",4,"Advanced: $20M-$100M in FDI, strong investment potential.",2,Developing,2,3,Greater than 40% but not more than 60%,2,Between 20% and 40%,1,Less than 20%,2,Developing,2,2,"Developing: Some partnerships, occasional public messaging.",1,Early Stage: No functional agency. No budget or staff allocated for assessments,2,"Developing: Planning bodies under development, informal monitoring.",1,"Early Stage: No sustainability systems, rare performance reports.",2,Developing,1.5,0,No Agency or Department,1,Data exists but no structured process to access,1,Early Stage,0.5,30,2,2,"Akwa Ibom State has developed an electrification strategy aligned with national goals, though it is yet to be operationalised. The state has also passed its electricity law, and a regulatory framework is in place but not yet functional. Sub-distribution companies are being developed but are not operational. While there are plans to improve electricity access, they lack funding, and no resources are currently available for implementation. The state has allocated minimal funds to energy, with weak PPP structures but moderate foreign investor interest. Transmission capacity meets about 60% of household demand, with a metering rate of less than 20% and 40% grid coverage. It has a 100kW mini-grid and a notable 572 MW in IPP capacity. Energy data axists but no dedicated agency or structure process to access it . The state demonstrates strengths in Stakeholder Engagement, Pre-Development, Development, and Operational Capacity. The state should prioritize improvements in Operational Capacity to enhance its overall electricity infrastructure performance.",,,Developing
South East,,Anambra,Anambra,Anambra State,"Desktop, Interview",1,"Stakeholder talks on electrification law started, no draft.",1,"State aware of Electricity Act 2023, discussions begun.",1,"State recognizes need, discussions on plan initiated.",1,Early Stage,1,3,Energy projects receive 2.1% to 3.1% of the budget.,2,"Developing: Fewer than five PPPs, evolving office.",4,"Advanced: $20M-$100M in FDI, strong investment potential.",3,Progressing,3,4,Greater than 60% but not more than 80%,5,Greater than 80% ,3,Greater than 80% ,4,Advanced,4,2,"Developing: Some partnerships, occasional public messaging.",2,"Developing: Agencies developing, weak regulatory presence, limited collaborations.",0,"No Initiation: No planning, procurement, or monitoring structures.",0,No Initiation: No sustainability evaluation or reporting systems.,1,Early Stage,1,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,28,1.866666667,2,"Anambra State has developed an electricity policy, now awaiting final State Assembly approval. Once enacted, it will establish the Anambra State Electricity Regulatory Authority, attracting private investors and increasing competition. The state is aligning its energy sector with global best practices to enhance investor confidence. Anambra allocates a fair budget to energy, has a developing PPP framework, and attracts strong FDI. It meets 63.82% of household demand, with 46.89% metering and full grid coverage. While it has a 7.5kW mini-grid, there is no recorded IPP capacity, and no dedicated data management system exists. Institutional capacity across the sector remains in the early stages. While some community engagement has been initiated and a partially resourced electricity agency exists, the state lacks comprehensive planning structures and operational systems to effectively manage and sustain electricity sector implementation.",,,Developing
North East,,Bauchi,Bauchi,Bauchi State,"Desktop ,Interview Questionnaire",2,"Draft electrification law developed, not yet submitted.",2,SERC concept or policy proposal in development.,3,"Electrification plan adopted, early implementation underway.",2,Developing,2.333333333,2,State allocates 1.1% to 2.1% of budget to energy.,2,"Developing: Fewer than five PPPs, evolving office.",1,"Early Stage: Less than $10 million in FDI, limited engagement.",2,Developing,1.666666667,2,Between 20% and 40%,2,Between 20% and 40%,2,Between 20% and 40%,2,Developing,2,2,"Developing: Some partnerships, occasional public messaging.",1,Early Stage: No functional agency. No budget or staff allocated for assessments,1,Early Stage: No project planning agency. No dedicated team.,1,"Early Stage: No sustainability systems, rare performance reports.",1,Early Stage,1.25,1,Department or unit within an agency,0,"No centralized repository, data is scattered and inaccessible",1,Early Stage,0.5,25,1.666666667,2,"Bauchi State has a developed electrification plan, but it is not yet operational. Its electricity law is under review, and regulatory transfer is still in development. While the state has renewable energy policies, policy reviews are infrequent, and no sub-disco has been established. Plans for improving electricity access and a PPP policy are in progress, but financial, technical, and human resources remain limited. Consultants have been engaged, and capacity-building efforts are ongoing.Bauchi has transmission capacity meeting just 24.47% of household demand, with 33.71% metering and less than 40 % grid coverage. The state has a planned 30MW mini-grid and 15 MW in IPP capacity. The state collaborates with other agencies and seeks federal support for capacity building and funding. While there is some interest from foreign investors, PPP activity remains low. Although the Ministry of Power collects data, there is no centralized, accessible repository. The state has demonstrated moderate progress in building electricity sector capacity, with a functioning electricity agency and some level of stakeholder engagement. However, its project development structures and monitoring systems are still evolving, and broader coordination across institutions remains limited.",,,Developing
South South,,Bayelsa,Bayelsa,Bayelsa State,"Desktop, Questionnaire",4,Law has been passed but not yet widely publicized.,3,"SERC legally established, NERC transferred oversight.",2,"Draft electrification plan developed, not yet adopted.",3,Progressing,3,2,State allocates 1.1% to 2.1% of budget to energy.,1,"Early Stage: PPP office established, no transactions.",0,"No Initiation: No FDI in energy, minimal engagement.",1,Early Stage,1,2,Between 20% and 40%,2,Between 20% and 40%,2,Between 20% and 40%,2,Developing,2,2,"Developing: Some partnerships, occasional public messaging.",1,Early Stage: No functional agency. No budget or staff allocated for assessments,1,Early Stage: No project planning agency. No dedicated team.,1,"Early Stage: No sustainability systems, rare performance reports.",1,Early Stage,1.25,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,23,1.533333333,2,"Bayelsa State has a draft electrification plan and has passed its electricity law but it is not yet fully aligned. While the legal framework for regulatory transfer exists, it has not been operationalised, and no steps have been taken to establish sub-distribution companies. The state has comprehensive renewable energy policies, conducts annual policy reviews, and has detailed, funded plans to expand electricity access. Resources are also available to support implementation. Energy investments remain minimal, with low budget allocation, weak PPP engagement, and negligible foreign investment. The state meets 20-40% of household demand, has a metering rate of 20-40%, and 28.1% grid coverage, with an 80kW mini-grid and a planned 60,000MW IPP capacity. There is no dedicated energy data agency or centralized, accessible repository. The state demonstrates strengths in Stakeholder Engagement and Development. The state should prioritize improvements in Pre-Development Capacity to enhance its overall electricity infrastructure management.s.",,,Developing
North Central,,Benue,Benue,Benue State,"Desktop, Interview, Questionnaire",2,"Draft electrification law developed, not yet submitted.",2,SERC concept or policy proposal in development.,3,"Electrification plan adopted, early implementation underway.",2,Developing,2.333333333,2,State allocates 1.1% to 2.1% of budget to energy.,2,"Developing: Fewer than five PPPs, evolving office.",4,"Advanced: $20M-$100M in FDI, strong investment potential.",3,Progressing,2.666666667,1,Less than 20%,2,Between 20% and 40%,1,Less than 20%,1,Early Stage,1.333333333,1,Early Stage:Informal engagement with communities. No structured campaigns,1,Early Stage: No functional agency. No budget or staff allocated for assessments,2,"Developing: Planning bodies under development, informal monitoring.",1,"Early Stage: No sustainability systems, rare performance reports.",1,Early Stage,1.25,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,24,1.6,2,"Benue State has an electrification plan aligned with the Electricity Act 2023, but it has not been operationalized. The electrification law is still in draft or review, and regulatory transfer from NERC is in progress. Efforts to establish sub-distribution companies are ongoing but not yet functional. Renewable energy policies are under development, with policy reviews occurring every 2–3 years. Despite some budget allocation to energy, the state has a weak PPP framework and minimal foreign investment interest. Benue meets less than 20% of household demand, has a metering rate of less than 20%, and about 40% grid coverage, with 10 MW of planned IPP capacity but no available mini-grid data. Additionally, Benue has no dedicated energy data agency or centralized, accessible repository. The state shows signs of progress in institutional capacity, particularly in stakeholder engagement and early-stage planning. However, broader systems for project development and monitoring are still underdeveloped, limiting the state’s ability to drive large-scale electricity implementation effectively.",,,Developing
North East,,Borno,Borno,Borno State,Desktop,0,No law has been drafted or initiated.,0,No regulatory framework has been undertaken.,0,No electrification or rural plan; no action taken.,0,No Initiation,0,1,Energy receives <1.1% of the budget.,2,"Developing: Fewer than five PPPs, evolving office.",1,"Early Stage: Less than $10 million in FDI, limited engagement.",1,Early Stage,1.333333333,1,Less than 20%,3,Greater than 60% but not more than 80%,1,Less than 20%,2,Developing,1.666666667,0,No Initiation: No community partnerships or awareness efforts.,0,"No Initiation: No agency, resources, or technical partnerships.",0,"No Initiation: No planning, procurement, or monitoring structures.",0,No Initiation: No sustainability evaluation or reporting systems.,0,No Initiation,0,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,9,0.6,1,"Borno State does not have a documented electrification plan, electricity law, or legal framework for regulatory transfer, nor has it established a sub-distribution company or specified a policy review process. However, its Climate Resilience Action Plan includes renewable energy integration, and the state is collaborating with the Rural Electrification Agency (REA) to construct a solar hybrid power plant for universities. Beyond this project, there are no publicly available plans to improve electricity access in underserved areas. The state has an Investment Promotion Agency Law to support Public-Private Partnerships (PPP) in energy projects but remains minimally engaged in the energy sector, with low budget allocation, an underdeveloped PPP framework, and weak foreign investment inflows. Borno meets only 18% of household electricity demand, has a metering rate of 14%, and 56.3% grid coverage. The state also lacks a dedicated energy data agency or a centralized, accessible repository. Assessment of state capacity readiness could not be completed due to lack of communication response despite multiple outreach attempts at various administrative levels. Accurate measurement of state capacity readiness requires direct engagement and substantive conversation with state representatives to properly evaluate capacity levels.",,,Early Stage
South South,,Cross-River,Cross-River,Cross River State,"Desktop, Interview, Questionnaire",3,Draft law has been submitted to the House of Assembly,2,SERC concept or policy proposal in development.,2,"Draft electrification plan developed, not yet adopted.",2,Developing,2.333333333,2,State allocates 1.1% to 2.1% of budget to energy.,2,"Developing: Fewer than five PPPs, evolving office.",4,"Advanced: $20M-$100M in FDI, strong investment potential.",3,Progressing,2.666666667,5,Greater than 80% ,3,Greater than 60% but not more than 80%,3,Greater than 80% ,4,Advanced,3.666666667,1,Early Stage:Informal engagement with communities. No structured campaigns,1,Early Stage: No functional agency. No budget or staff allocated for assessments,2,"Developing: Planning bodies under development, informal monitoring.",1,"Early Stage: No sustainability systems, rare performance reports.",1,Early Stage,1.25,1,Department or unit within an agency,2,"Plans to improve data management exist, but no implementation yet.",2,Developing,1.5,33,2.2,2,"Cross River State is in the early stages, with its electrification plan and laws still in draft. The legal framework for regulatory transfer is under development, and efforts to establish sub-distribution companies are ongoing but not yet operational. While there are plans to improve electricity access, they currently lack funding and the state does not have the resources to support implementation. Energy investment remains low due to limited budget allocation, a weak PPP framework, and minimal foreign investment. The state meets 91% of household electricity demand, with a metering rate of 43.46% and grid coverage of 52.9%, supported by a 60 kWp mini-grid. The state has no dedicated energy data agency, and while the Ministry of Power collects some data manually with limited digital tools, records are primarily physical, and planned improvements have yet to be implemented. The state demonstrates strengths in Stakeholder Engagement and Development. However, it lacks essential frameworks for Operational Capacity. The state needs to focus on developing Operational systems to build effective electricity infrastructure capacity.",,,Developing
South South,,Delta,Delta,Delta State,Desktop,4,Law has been passed but not yet widely publicized.,2,SERC concept or policy proposal in development.,1,"State recognizes need, discussions on plan initiated.",2,Developing,2.333333333,2,State allocates 1.1% to 2.1% of budget to energy.,3,"Progressing: Fewer than ten PPPs, growing experience.",1,"Early Stage: Less than $10 million in FDI, limited engagement.",2,Developing,2,3,Greater than 40% but not more than 60%,5,Greater than 80% ,3,Greater than 80% ,4,Advanced,3.666666667,0,No Initiation: No community partnerships or awareness efforts.,0,"No Initiation: No agency, resources, or technical partnerships.",0,"No Initiation: No planning, procurement, or monitoring structures.",0,No Initiation: No sustainability evaluation or reporting systems.,0,No Initiation,0,0,No Agency or Department,0,"No centralized repository, data is scattered and inaccessible",0,No Initiation,0,24,1.6,2,"Delta State has a renewable energy policy roadmap and has passed its Electricity Power Sector Bill, aligning with the Electricity Act 2023, but there is no publicly available legal framework for regulatory transfer or sub-distribution companies. The state engages in PPP projects but lacks a detailed policy framework, and policy review frequency is unspecified. Energy investment is moderate, with some budget allocation, an emerging PPP framework, and limited foreign investment. Delta meets 58% of household electricity demand, has a 49.14% metering rate, and 97.4% grid coverage. The state lacks a dedicated data management agency or central energy repository. Assessment of state capacity readiness could not be completed due to lack of communication response despite multiple outreach attempts at various administrative levels. Accurate measurement of state capacity readiness requires direct engagement and substantive conversation with state representatives to properly evaluate capacity levels.",,,Developing
