,State,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
0,Abia,36%,24%,7%,17%,15%,0%
1,Adamawa,23%,52%,8%,8%,9%,0%
2,Akwa-Ibom,24%,31%,6%,29%,9%,0%
3,Anambra,1%,9%,3%,36%,52%,0%
4,Bauchi,26%,42%,7%,14%,10%,0%
5,Bayelsa,78%,7%,3%,9%,3%,0%
6,Benue,19%,26%,23%,14%,17%,0%
7,Borno,44%,22%,4%,23%,6%,0%
8,Cross River,57%,16%,5%,16%,6%,0%
9,Delta,18%,59%,5%,14%,3%,0%
10,Ebonyi,14%,12%,18%,24%,31%,0%
11,Edo,0%,43%,13%,39%,5%,0%
12,Ekiti,33%,30%,9%,24%,4%,0%
13,Enugu,7%,19%,3%,30%,41%,0%
14,Federal Capital Territory,8%,45%,4%,31%,12%,0%
15,Gombe,11%,12%,20%,14%,43%,0%
16,Imo,23%,37%,6%,23%,11%,0%
17,Jigawa,32%,20%,24%,18%,5%,0%
18,Kaduna,40%,39%,4%,14%,2%,0%
19,Kano,4%,62%,7%,20%,6%,0%
20,Kastina,12%,52%,9%,15%,12%,0%
21,Kebbi,27%,33%,5%,30%,5%,0%
22,Kogi,12%,19%,6%,43%,20%,0%
23,Kwara,15%,64%,1%,14%,6%,0%
24,Lagos,9%,22%,11%,33%,24%,0%
25,Nasarawa,13%,33%,23%,22%,9%,0%
26,Niger,9%,29%,4%,28%,30%,0%
27,Ogun,62%,34%,2%,2%,0%,0%
28,Ondo,13%,70%,6%,6%,3%,0%
29,Osun,36%,34%,8%,15%,8%,0%
30,Oyo,50%,46%,2%,2%,0%,0%
31,Plateau,63%,14%,11%,8%,4%,0%
32,Rivers,23%,24%,15%,27%,12%,0%
33,Sokoto,61%,18%,1%,11%,9%,0%
34,Taraba,60%,11%,13%,6%,10%,0%
35,Yobe,17%,31%,8%,17%,28%,0%
36,Zamfara,48%,40%,8%,3%,2%,0%
