region,state,lga,tier,count
South East,Abia,Aba North,Tier 0,0
South East,Abia,Aba South,Tier 0,0
North Central,FCT-Abuja,Abaji,Tier 0,2
South South,Akwa-Ibom,Abak,Tier 0,0
South South,Ebonyi,Abakaliki,Tier 0,0
South West,Ogun,Abeokuta North,Tier 0,0
South West,Ogun,Abeokuta South,Tier 0,0
South South,Cross-River,Abi,Tier 0,0
South East,Imo,Aboh Mbaise,Tier 0,0
South South,Rivers,Abua-Odual,Tier 0,0
North Central,FCT/Abuja,Abuja Municipal Area Council,Tier 0,1
North Central,Kogi,Adavi,Tier 0,0
North Central,Benue,Ado,Tier 0,0
South West,Ekiti,Ado Ekiti,Tier 0,2
South West,Ogun,Ado-Odo/Ota,Tier 0,0
South West,Oyo,Afijio,Tier 0,0
South South,Ebonyi,Afikpo,Tier 0,0
North Central,Niger,Agaie,Tier 0,0
North Central,Benue,Agatu,Tier 0,6
South West,Lagos,Agege,Tier 0,0
South East,Anambra,Aguata,Tier 0,0
South East,Imo,Ahiazu Mbaise,Tier 0,0
South South,Rivers,Ahoada East,Tier 0,6
South South,Rivers,Ahoada West,Tier 0,0
South West,Osun,Aiyedaade,Tier 0,0
South West,Osun,Aiyedire,Tier 0,0
North Central,Kogi,Ajaokuta,Tier 0,0
South West,Lagos,Ajeromi-Ifelodun,Tier 0,0
North West,Kano,Ajingi,Tier 0,0
South South,Cross-River,Akamkpa,Tier 0,7
South West,Oyo,Akinyele,Tier 0,0
North East,Gombe,Akko,Tier 0,1
South West,Ondo,Akoko North-East,Tier 0,0
South West,Ondo,Akoko North-West,Tier 0,0
South West,Ondo,Akoko South-East,Tier 0,0
South West,Ondo,Akoko South-West,Tier 0,0
South South,Edo,Akoko-Edo,Tier 0,0
South South,Cross-River,Akpabuyo,Tier 0,1
South South,Rivers,Akuku Toru,Tier 0,0
South West,Ondo,Akure North,Tier 0,0
South West,Ondo,Akure South,Tier 0,0
North Central,Nasarawa,Akwanga,Tier 0,1
North West,Kano,Albasu,Tier 0,0
North West,Kebbi,Aleiro,Tier 0,1
South West,Lagos,Alimosho,Tier 0,0
North East,Bauchi,Alkaleri,Tier 0,0
South West,Lagos,Amuwo-Odofin,Tier 0,0
South East,Anambra,Anambra East,Tier 0,0
South East,Anambra,Anambra West,Tier 0,0
South East,Anambra,Anaocha,Tier 0,0
South South,Rivers,Andoni,Tier 0,12
South East,Enugu,Aninri,Tier 0,0
South South,Delta,Aniocha North,Tier 0,0
South South,Delta,Aniocha South,Tier 0,0
North Central,Kogi,Ankpa,Tier 0,0
North Central,Benue,Apa,Tier 0,5
South West,Lagos,Apapa,Tier 0,1
North East,Taraba,Ardo Kola,Tier 0,3
North West,Kebbi,Arewa,Tier 0,8
North West,Kebbi,Argungu,Tier 0,1
South East,Abia,Arochukwu,Tier 0,11
North Central,Kwara,Asa,Tier 0,0
South South,Rivers,Asari Toru,Tier 0,1
North East,Borno,Askira/Uba,Tier 0,0
South West,Osun,Atakunmosa East,Tier 0,2
South West,Osun,Atakunmosa West,Tier 0,0
South West,Oyo,Atiba,Tier 0,0
South West,Oyo,Atisbo,Tier 0,3
North West,Kebbi,Augie,Tier 0,5
North West,Jigawa,Auyo,Tier 0,0
North Central,Nasarawa,Awe,Tier 0,1
South East,Enugu,Awgu,Tier 0,0
South East,Anambra,Awka North,Tier 0,0
South East,Anambra,Awka South,Tier 0,0
South East,Anambra,Ayamelum,Tier 0,0
North West,Jigawa,Babura,Tier 0,2
South West,Lagos,Badagry,Tier 0,0
North East,Yobe,Bade,Tier 0,1
North West,Kebbi,Bagudo,Tier 0,0
North West,Kano,Bagwai,Tier 0,0
South South,Cross-River,Bakassi,Tier 0,7
North West,Katsina,Bakori,Tier 0,0
North West,Zamfara,Bakuka,Tier 0,10
