,LGA,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
0,Aba North,0%,0%,0%,100%,0%,0%
1,Aba South,0%,17%,0%,83%,0%,0%
2,Abaji,9%,61%,6%,24%,0%,0%
3,Abak,0%,44%,11%,44%,0%,0%
4,Abakaliki,0%,25%,0%,75%,0%,0%
5,Abeokuta North,92%,0%,8%,0%,0%,0%
6,Abeokuta South,67%,33%,0%,0%,0%,0%
7,Abi,27%,64%,0%,9%,0%,0%
8,Aboh Mbaise,20%,80%,0%,0%,0%,0%
9,Abua-Odual,58%,42%,0%,0%,0%,0%
10,Abuja Municipal Area Council,4%,46%,0%,50%,0%,0%
11,Adavi,0%,100%,0%,0%,0%,0%
12,Ado,0%,91%,9%,0%,0%,0%
13,Ado Ekiti,58%,42%,0%,0%,0%,0%
14,Ado-Odo/Ota,67%,25%,0%,8%,0%,0%
15,Afijio,0%,100%,0%,0%,0%,0%
16,Afikpo,0%,55%,0%,45%,0%,0%
17,Agaie,9%,64%,9%,18%,0%,0%
18,Agatu,91%,0%,0%,9%,0%,0%
19,Agege,19%,53%,0%,28%,0%,0%
20,Aguata,15%,0%,0%,85%,0%,0%
21,Ahiazu Mbaise,0%,56%,0%,44%,0%,0%
22,Ahoada East,58%,42%,0%,0%,0%,0%
23,Ahoada West,21%,50%,0%,29%,0%,0%
24,Aiyedaade,0%,62%,25%,12%,0%,0%
25,Aiyedire,12%,38%,38%,12%,0%,0%
26,Ajaokuta,0%,62%,0%,38%,0%,0%
27,Ajeromi-Ifelodun,19%,59%,6%,16%,0%,0%
28,Ajingi,0%,71%,14%,14%,0%,0%
29,Akamkpa,100%,0%,0%,0%,0%,0%
30,Akinyele,0%,82%,0%,18%,0%,0%
31,Akko,9%,64%,0%,27%,0%,0%
32,Akoko North-East,25%,75%,0%,0%,0%,0%
33,Akoko North-West,0%,82%,18%,0%,0%,0%
34,Akoko South-East,0%,100%,0%,0%,0%,0%
35,Akoko South-West,0%,91%,9%,0%,0%,0%
36,Akoko-Edo,0%,100%,0%,0%,0%,0%
37,Akpabuyo,55%,36%,0%,9%,0%,0%
38,Akuku Toru,8%,69%,0%,23%,0%,0%
