Timestamp,What is the name of the hospital?,Building Name,"If Others, Kindly Input Building Name",Status (If currently at the hospital or in the future plans of the hospital to purchase over the next 3 years),Is it a medical or Non medical Appliance,Equipment Category,Medical Equipment Name,"If Others, Kindly Input the Medical Equipment Name",Non-Medical Equipment/Appliance Name,"If Others, What equipment/Appliance",How would you categorize this equipment/Appliance,Count,Rated Capacity,Unit of Rating,"if others, whats is the name of the unit of measurement",Working condition,Daily Hours of Use,Peak energy usage times,Take an image of the equipment if accessible
8/18/2025 21:13:45,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,7,10,Watts,,Good ,14,Morning (12 am- 3 am),
8/18/2025 21:18:35,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,3,30,Watts,,Good ,6,Morining (6 am - 9 am),
8/18/2025 21:21:17,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,LIghtening,,,Light bulb,,Critical,2,100,Watts,,Good ,12,Night (9 pm - 12 am),
8/18/2025 21:23:12,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Cooling,,,Fan,,Critical,9,100,Watts,,Good ,6,Afternoon (12 pm - 3 pm),
8/18/2025 21:27:00,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Cooling,,,Fan,,Critical,4,135,Watts,,Good ,6,Afternoon (12 pm - 3 pm),
8/18/2025 21:28:38,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Heating,,,Others,Electric iron,Non-Critical,2,2000,Watts,,Good ,5,Morining (9 am - 12 pm),
8/18/2025 21:31:24,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Others,,,Others,Industrial sewing machine,Non-Critical,3,250,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 21:44:26,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Others,,,Others,Stabilizer,Non-Critical,3,2000,Watts,,Good ,6,"Morining (9 am - 12 pm) , Afternoon (12 pm - 3 pm)",
8/18/2025 21:46:37,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Cooling,,,Freezer/Fridge,,Non-Critical,3,90,Watts,,Good ,6,Afternoon (12 pm - 3 pm),
8/18/2025 22:05:31,Ifako Agege General Hospital,Engineering; Procurement; Store; Catering; Security; Domestic; Transport; Laundry; Tailoring,,Currently Available,Non-Medical,Cooling,,,Others,Airconditional,Non-Critical,3,1200,Watts,,Bad - Not Working,4,Afternoon (12 pm - 3 pm),
