Timestamp,What is the name of the hospital?,Building Name,"If Others, Kindly Input Building Name",Auditor's Name,GPS Coordinate,Year of Construction and Any Major Renovations,Any department or areas in the building that required uninterrupted power supply?,"If Yes, Kindly select the areas/departments","Facing (North, West, East, South etc.)",What is the total roof area available for solar installation (m²)?,Any available land space? (Y/N),Number of Floors in the building,Is the Roof sloping (Y/N),Roof orientation and tilt angle (degrees),Roof sheet thickness (Meters),Roof sheet material (Are rooftops concrete or metal sheet?),"On a scale of 0-10, How would you rate the roof condition of this building ?",Are there any existing civil works or electrical infrastructure concerns?,Presence of obstructions,"Is there any shading (trees, nearby buildings) on rooftops?",Wind load resistance,Solar irradiation levels (kWh/m2/day),Temperature (oC),Are there any available space for inverters & other equipment for Panels,Location of available space(s),Available space for inverters & other equipment for Panels (sq.m),Dust Generation Potential,Need for Soil Stabilization or errosion control,Compliance with building and zoning codes,page_0_0_images,Rooftop Image 1,Rooftop Image 2,Rooftop Image 3,Other images if applicable ie (Installation of accessories),Image 1,Image 2,Remarks,Any remarks from enumerator
8/20/2025 13:18:50,Mainland General Hospital,Others,A WARD,Fetuga Abiodun,"6.523029, 3.377712",,TRUE,Patient ward,,190,TRUE,1,TRUE,45,,Aluminium longspan,8,FALSE,FALSE,TRUE,25.2,724,28,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 13-18-50.Rooftop Image 1.131405.jpg,Solar Feasibility_Images/08-20-2025 13-18-50.Rooftop Image 2.131405.jpg,Solar Feasibility_Images/08-20-2025 13-18-50.Rooftop Image 3.131405.jpg,,Solar Feasibility_Images/08-20-2025 13-18-50.Image 1.131410.jpg,,There's no available space for the inverter and battery equipment. So it's suggested an inverter building/house is built on the available space picture attached,,
8/20/2025 14:22:03,Mainland General Hospital,Others,B WARD,Fetuga Abiodun,"6.522782, 3.377949",,TRUE,Patient ward,,175,FALSE,1,TRUE,25,,Aluminium longspan,8,FALSE,FALSE,FALSE,25.2,721,23,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 14-22-03.Rooftop Image 1.133511.jpg,Solar Feasibility_Images/08-20-2025 14-22-03.Rooftop Image 2.133511.jpg,Solar Feasibility_Images/08-20-2025 14-22-03.Rooftop Image 3.133511.jpg,,,,,,
8/20/2025 14:37:28,Mainland General Hospital,Laboratory Services (and Clinical Pathology),,Fetuga Abiodun,"6.522756, 3.378041",,TRUE,Main Lab,,580,FALSE,1,TRUE,25,,Aluminium longspan,8,TRUE,FALSE,FALSE,25.2,752,23,TRUE,Dirty area,9,Low,Low,,Solar Feasibility_Images/08-20-2025 14-37-28.Rooftop Image 1.135747.jpg,Solar Feasibility_Images/08-20-2025 14-37-28.Rooftop Image 2.135747.jpg,Solar Feasibility_Images/08-20-2025 14-37-28.Rooftop Image 3.135747.jpg,,Solar Feasibility_Images/08-20-2025 14-37-28.Image 1.135751.jpg,Solar Feasibility_Images/08-20-2025 14-37-28.Image 2.135751.jpg,,,
8/20/2025 14:58:40,Mainland General Hospital,Others,Chest Clinic (OPD),Fetuga Abiodun,"6.522697, 3.377615",,TRUE,Clinic,,210,FALSE,1,TRUE,45,,Aluminium longspan,8,FALSE,FALSE,FALSE,25.2,728,23,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 14-58-40.Rooftop Image 1.140626.jpg,Solar Feasibility_Images/08-20-2025 14-58-40.Rooftop Image 2.140626.jpg,Solar Feasibility_Images/08-20-2025 14-58-40.Rooftop Image 3.140626.jpg,,,,,,
8/20/2025 15:06:16,Mainland General Hospital,Others,C WARD,Fetuga Abiodun,"6.522963, 3.377969",,TRUE,WARD,,345,TRUE,1,TRUE,35,,Aluminium longspan,8,FALSE,FALSE,FALSE,25.2,698,23,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 15-06-16.Rooftop Image 1.142243.jpg,Solar Feasibility_Images/08-20-2025 15-06-16.Rooftop Image 2.142243.jpg,Solar Feasibility_Images/08-20-2025 15-06-16.Rooftop Image 3.142243.jpg,,Solar Feasibility_Images/08-20-2025 15-06-16.Image 1.142247.jpg,Solar Feasibility_Images/08-20-2025 15-06-16.Image 2.142247.jpg,,,
8/20/2025 15:22:31,Mainland General Hospital,Others,NEW OPD,Fetuga Abiodun,"6.523356, 3.378033",,FALSE,,,280,TRUE,1,TRUE,20,,Aluminium longspan,9,TRUE,FALSE,FALSE,25.2,701,23,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 15-22-31.Rooftop Image 1.143733.jpg,Solar Feasibility_Images/08-20-2025 15-22-31.Rooftop Image 2.143733.jpg,Solar Feasibility_Images/08-20-2025 15-22-31.Rooftop Image 3.143733.jpg,,,,,,
8/20/2025 15:37:25,Mainland General Hospital,Others,CALL ROOM,Fetuga Abiodun,"6.523594, 3.377651",,FALSE,,,270,TRUE,0,TRUE,35,,Aluminium longspan,6,TRUE,TRUE,TRUE,25.2,690,23,TRUE,Office passage,15.6,Low,Low,,Solar Feasibility_Images/08-20-2025 15-37-25.Rooftop Image 1.144654.jpg,Solar Feasibility_Images/08-20-2025 15-37-25.Rooftop Image 2.144654.jpg,Solar Feasibility_Images/08-20-2025 15-37-25.Rooftop Image 3.144654.jpg,,,,,,
8/20/2025 15:50:00,Mainland General Hospital,Others,QUARTERS,Fetuga Abiodun,"6.523651, 3.377629",,FALSE,,,25,FALSE,1,FALSE,,,Aluminium longspan,8,FALSE,FALSE,TRUE,25.2,714,23,FALSE,Building passage,6,Low,Low,,Solar Feasibility_Images/08-20-2025 15-50-00.Rooftop Image 1.145552.jpg,Solar Feasibility_Images/08-20-2025 15-50-00.Rooftop Image 2.145552.jpg,Solar Feasibility_Images/08-20-2025 15-50-00.Rooftop Image 3.145552.jpg,,,,,,
8/20/2025 15:55:42,Mainland General Hospital,Dietetics (Nutrition & Food Services),,Fetuga Abiodun,"6.523436, 3.377468",,FALSE,,,120,TRUE,1,TRUE,40,,Aluminium longspan,8,FALSE,FALSE,FALSE,25.7,687,22,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 15-55-42.Rooftop Image 1.150652.jpg,Solar Feasibility_Images/08-20-2025 15-55-42.Rooftop Image 2.150652.jpg,Solar Feasibility_Images/08-20-2025 15-55-42.Rooftop Image 3.150652.jpg,,,,,,
8/20/2025 16:06:49,Mainland General Hospital,Office of the Chief Medical Director,,Fetuga Abiodun,"6.522850, 3.377286",,FALSE,,,190,FALSE,2,FALSE,40,,Aluminium longspan,8,FALSE,FALSE,TRUE,25.7,685,28,TRUE,Beside the control room,8,Low,Low,,Solar Feasibility_Images/08-20-2025 16-06-49.Rooftop Image 1.151928.jpg,Solar Feasibility_Images/08-20-2025 16-06-49.Rooftop Image 2.151928.jpg,Solar Feasibility_Images/08-20-2025 16-06-49.Rooftop Image 3.155213.jpg,,Solar Feasibility_Images/08-20-2025 16-06-49.Image 1.151928.jpg,Solar Feasibility_Images/08-20-2025 16-06-49.Image 2.151932.jpg,,,
